test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
T_max,100,Big,TSRHSE,1600,100,1152843.8365363488,"[-3.032092653589793, -1.633592653589793, -0.5800926535897931, 0.28390734641020715]","[1.4901992233511563, 0.14991236287388243, 3.6056663745443407, 0.002879514067066602]",
T_max,100,Big,QFAMES,1600,100,1152843.8365363488,"[0.28690734641020704, -0.43009265358979315, 0.3349073464102073, -0.381092653589793, -0.47859265358979297]","[0.2376992233511561, 8.76371261175346e-05, 0.2386663745443403, 0.00012048593293328969]",[1 1 0 0 0]
T_max,200,None,QPE,5,175.27121840165316,339.58798565320296,0.14339343023863688,2.7755575615628914e-17,
T_max,200,None,KQPE,5,175.27121840165316,339.58798565320296,0.1433934302386369,0.0,
T_max,200,None,QMEGS,62,200,4994.089888132578,"[-1.104592653589793, -0.14284265358979312, 0.9849073464102073, 2.1729073464102067]","[0.0005507766488437871, 0.6744123628738823, 0.41133362545565966, 1.886120485932933]",
T_max,200,None,TSRHSE,1600,200,2305687.6730726976,"[-0.4171157140716025, -0.12576214997879903, 0.25159207025795227, 0.570101413021253]","[0.017631280259837873, 0.013064576644308212, 0.0034723079332946716, 0.03519479021932148]",
T_max,200,None,QFAMES,1600,200,2305687.6730726976,"[0.2869073464102071, 0.5734073464102067, -0.14334265358979306, -0.43034265358979323, 1.665907346410207]","[5.077664884384214e-05, 0.00016236287388254889, 0.00016637454434087484, 0.0001204859329333452]",[1 1 1 1 0]
T_max,200,Small,QPE,5,175.27121840165316,339.58798565320296,0.21107512931127348,0.06768169907263658,
T_max,200,Small,KQPE,5,175.27121840165316,339.58798565320296,0.1433934302386369,0.0,
T_max,200,Small,QMEGS,62,200,4994.089888132578,"[-2.168092653589793, -0.14234265358979312, 2.259407346410207, 2.6869073464102065]","[0.0010507766488437875, 1.7379123628738824, 1.6858336254556594, 2.400120485932933]",
T_max,200,Small,TSRHSE,1600,200,2305687.6730726976,"[-0.3428282508403507, -0.00669837553487189, 0.45523057108216247, 2.2851431407893625]","[0.136695054703765, 0.08735203987556, 0.11834314987238514, 1.998356280312089]",
T_max,200,Small,QFAMES,1600,200,2305687.6730726976,"[-0.14334265358979306, 0.5734073464102067, -0.4300926535897932, 0.287157346410207, -0.16734265358979297]","[5.077664884384214e-05, 8.763712611747909e-05, 0.00016637454434087484, 0.00037048593293326215]",[1 1 1 1 0]
T_max,200,Big,QPE,5,175.27121840165316,339.58798565320296,0.34600834716583084,0.20261491692719394,
T_max,200,Big,KQPE,5,175.27121840165316,339.58798565320296,0.4301802907159107,0.28678686047727375,
T_max,200,Big,QMEGS,62,200,4994.089888132578,"[-1.636092653589793, -0.8918426535897931, -0.4270926535897928, 0.9006573464102073]","[0.7484492233511562, 0.0030876371261178703, 0.3270836254556597, 1.9228795140670667]",
