test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
T_max,800,Small,QFAMES,6400,800,150226861.3521308,"[0.3702198464102068, 0.28034484641020735, 0.13090734641020685, -0.3701551535897929, -9.265358979324034e-05, -0.06746765358979281, 0.3761573464102073, 0.2744073464102068, 0.12496984641020675]","[8.509125673789031e-05, 9.265358979323612e-05, 2.0398436323842972e-05, 0.7490755635996584, 4.460433481590087e-05, 3.6240904703707666e-05, 7.65251063214456e-06, 0.005929847489367951]",[1 1 1 0 0 0 0 0 0]
T_max,800,Big,QPE,6,423.5841426675888,833.9312808768154,0.20682925894941,0.16341098589712078,
T_max,800,Big,KQPE,6,423.5841426675888,833.9312808768154,0.10383367251019257,0.26640657233633824,
T_max,800,Big,QMEGS,70,800,22850.25456053869,"[-2.7112176535897934, -1.8773426535897932, -1.4891551535897931, -1.086405153589793, -0.8914051535897931, -0.36434265358979323, 1.9754073464102062, 2.7352198464102067]","[0.0058975912567375555, 1.4891551535897931, 1.6051671015636755, 0.41673693640034143, 2.4549196043348154, 1.018973740904704, 2.008242347489368, 2.842117347489368]",
T_max,800,Big,TSRHSE,6400,800,150226861.3521308,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
T_max,800,Big,QFAMES,6400,800,150226861.3521308,"[0.3702198464102068, 0.28034484641020735, 0.13090734641020685, 0.3761573464102073, 0.2744073464102068, 0.3644073464102072, 0.28615734641020685, 0.12503234641020675, 0.35653234641020726]","[0.726772591256738, 0.2744073464102068, 2.0398436323842972e-05, 0.839075563599659, 4.460433481590087e-05, 0.35358875909529597, 7.65251063214456e-06, 0.005867347489367958]",[1 1 1 0 0 0 0 0 0]
T_max,1200,None,QPE,7,847.1682853351776,1681.099566211993,0.37018929257151734,5.0952275013449455e-05,
T_max,1200,None,KQPE,7,847.1682853351776,1681.099566211993,0.3708345446792592,0.0005942998327284066,
T_max,1200,None,QMEGS,72,1200,35057.2476802104,"[-3.1351759869231266, -2.70500932025646, -0.7310509869231258, -0.48888432025645945, -0.37013432025645904, -0.14659265358979257, 0.4314073464102076, 2.626115679743541]","[0.0001059245900717487, 0.7310509869231258, 0.061167101563676995, 0.014216103067007768, 2.3458154376681497, 0.07916124090470346, 2.8359090141560346, 3.266075680822701]",
T_max,1200,None,TSRHSE,6400,1200,225340292.02819598,"[-0.4609919600337262, -0.37799929654635717, -0.06796198466853262, 0.008142031439959532, 0.11471691234733122, 0.14347608186716682, 0.2738053983729697, 0.3706730036462249]","[0.00775905169982638, 0.008142031439959535, 0.0004327587996942883, 0.013676257155725458, 0.00649484370242176, 0.0005305719834435146, 0.012576387967592112, 0.01618278155224348]",
T_max,1200,None,QFAMES,6400,1200,225340292.02819598,"[0.1309073464102073, -0.3702593202564596, 0.37024067974354113, -0.06742598692312596, -0.4746759869231261, -9.320256459397717e-06, 0.2803240130768742, 0.12686567974354043, 0.13486567974354083]","[1.907540992879264e-05, 9.320256459393502e-06, 4.3489701051502294e-07, 7.769733674445334e-06, 2.377100148276412e-05, 5.425761963148701e-06, 7.65251063258865e-06, 0.003965985843966124]",[2 1 1 1 1 1 1 0 0]
T_max,1200,Small,QPE,7,847.1682853351776,1681.099566211993,0.27000463198096863,0.10023561286556215,
T_max,1200,Small,KQPE,7,847.1682853351776,1681.099566211993,0.3708345446792592,0.0005942998327284066,
T_max,1200,Small,QMEGS,72,1200,35057.2476802104,"[-1.9139676535897931, -0.5626343202564599, -0.041550986923125914, 1.1893240130768739, 1.4441156797435413, 2.364990679743541, 2.759865679743541, 2.786657346410208]","[1.5437274087432624, 2.786657346410208, 0.8190837682303432, 0.0879661030670082, 1.1638154376681498, 0.025880425761963192, 2.2340909858439666, 2.6289659858439665]",
T_max,1200,Small,TSRHSE,6400,1200,225340292.02819598,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
T_max,1200,Small,QFAMES,6400,1200,225340292.02819598,"[0.3702823464102078, 0.2802823464102075, 0.1309073464102073, -0.3702593202564596, 7.401307687393565e-05, -0.06742598692312596, 0.13486567974354083, 0.36636567974354095, 0.12694901307687376]","[1.907540992879264e-05, 7.401307687393987e-05, 4.21015636771771e-05, 0.6095338969329925, 1.789566518395347e-05, 5.425761963148701e-06, 7.65251063258865e-06, 0.003950680822700947]",[1 1 1 0 0 0 0 0 0]
T_max,1200,Big,QPE,7,847.1682853351776,1681.099566211993,0.1972580193512383,0.1729822254952925,
T_max,1200,Big,KQPE,7,847.1682853351776,1681.099566211993,0.10383367251019257,0.26640657233633824,
T_max,1200,Big,QMEGS,72,1200,35057.2476802104,"[-3.075342653589793, 0.369574013076874, 0.4115740130768739, 0.6186156797435409, 0.9829073464102073, 1.2579073464102077, 2.629282346410207, 3.0588656797435405]","[3.4291059245900715, 1.2579073464102077, 0.0006662317696566333, 2.6006744364003413, 0.13127377100148246, 2.6967137590952963, 0.48771598584396625, 0.8520076525106326]",
T_max,1200,Big,TSRHSE,6400,1200,225340292.02819598,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
T_max,1200,Big,QFAMES,6400,1200,225340292.02819598,"[0.37024067974354113, 0.2802823464102075, 0.1309073464102073, 0.36632401307687423, 0.27636567974354065, 0.13482401307687417, 0.3741573464102072, 0.284199013076874, 0.12694901307687376]","[0.6544392579234048, 0.12694901307687376, 4.3489701051502294e-07, 0.840992230266326, 1.789566518395347e-05, 0.34379709242862977, 7.65251063258865e-06, 0.003924319177299462]",[1 1 1 0 0 0 0 0 0]
T_max,1600,None,QPE,7,847.1682853351776,1681.099566211993,0.37010029228079433,0.00013995256573645642,
T_max,1600,None,KQPE,7,847.1682853351776,1681.099566211993,0.3708345446792592,0.0005942998327284066,
T_max,1600,None,QMEGS,74,1600,49136.51709222897,"[-2.444155153589793, -2.1223426535897927, -0.7642489035897928, -0.3704676535897929, -0.09981140358979301, 2.301751096410207, 2.867438596410207, 2.9037198464102065]","[0.00022740874326210303, 2.1223426535897927, 1.9315108515636763, 0.2895806864003411, 2.5871383543348156, 0.032379990904703906, 2.5750548474893677, 2.772820152510632]",
